name,sport,division,conference,nickname,nickname_plural,mascot,primary_color,secondary_color,logo_url,identity_source,identity_notes,conference_champion_2025,conference_champion_name,conference_champion_source,academic_rating,soccer_score
"Saint Thomas (FL)",mens-soccer,NAIA,Mid-South,Bobcats,1,,#862633,#002855,https://upload.wikimedia.org/wikipedia/commons/b/b3/STU_Logo_Main.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:St. Thomas University (Florida)",,,,,6.8,65.57
"Saint Vincent",mens-soccer,"NCAA D3",PAC,Bearcats,1,Bearcat,#1e5632,#daad28,https://upload.wikimedia.org/wikipedia/commons/e/e2/St_vincent_college_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saint Vincent College","corrected from this school's women's row: had been matched to a different institution of a similar name (wikipedia:Saint Vincent College)",,,,6.5,38.98
"Saint Xavier University",mens-soccer,NAIA,"Chicagoland Collegiate Athletic Conference",Cougars,1,Cougar,,,https://upload.wikimedia.org/wikipedia/en/f/fc/Saint_Xavier_University_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Saint Xavier University","copied from this school's other-sport row (Saint Xavier University); the article ""Saint Xavier University"" names this institution",,,,,48.97
Salem,mens-soccer,"NCAA D2",SAC,Tigers,1,,,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Salem_college_textlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,athletics-domain:salemtigers.com,"Salem University (WV); the D3 women-only Salem College had been copied here in error. Wikipedia states no nickname, so this comes from the school's own athletics domain.",,,,4.6,50.14
Salisbury,mens-soccer,"NCAA D3",CAC,"Sea Gulls",1,"Sammy the Sea Gull",,,https://upload.wikimedia.org/wikipedia/commons/0/04/Salisbury_University_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Salisbury University",,,,,6.5,40.17
"Salt Lake Community",mens-soccer,NJCAA,RMJCAA,,,"Brutus the Bruin Bear",,,,"wikipedia:Salt Lake Community College",,,,,7.0,41.07
"Salve Regina",mens-soccer,"NCAA D3",CCC,Seahawks,1,Seahawk,#002855,#FFFFFF,https://upload.wikimedia.org/wikipedia/commons/1/1e/Salve_regina_univ_centerlogo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Salve Regina University",,,,,6.5,45.34
"San Bernardino Valley",mens-soccer,NJCAA,CCCAA,,,"Wolverines (2001–present), Indians (1926–2000)",#25347A,#979899,,"wikipedia:San Bernardino Valley College",,,,,6.8,34.65
"San Diego",mens-soccer,"NCAA D1","West Coast Conference",Tritons,1,"King Triton",#182B49,#00629B,https://upload.wikimedia.org/wikipedia/commons/c/cc/University_of_California%2C_San_Diego_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of California, San Diego",,1,"West Coast","wikipedia:2025 NCAA Division I men's soccer tournament",8.0,95.31
"San Diego Mesa",mens-soccer,NJCAA,CCCAA,,,Olympians,,,https://upload.wikimedia.org/wikipedia/commons/9/93/San_Diego_Mesa_College_Linear_Logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:San Diego Mesa College",,,,,7.0,21.65
"San Diego Miramar",mens-soccer,NJCAA,CCCAA,,,Jets,#008080,#B0B0B0,,"wikipedia:San Diego Miramar College",,,,,6.0,22.69
"San Diego State",mens-soccer,"NCAA D1","Pac-12 Conference",Aztecs,1,"Aztec warrior",#D41736,#000000,https://upload.wikimedia.org/wikipedia/commons/5/59/San_Diego_State_University_primary_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:San Diego State University",,,,,7.8,73.93
"San Francisco",mens-soccer,"NCAA D1","West Coast Conference",Dons,1,"The Don, a Spanish nobleman",#00543C,#FDBB30,https://upload.wikimedia.org/wikipedia/en/0/0a/University_of_San_Francisco_%28logo%29.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:University of San Francisco",,,,,8.0,85.29
"San Francisco State",mens-soccer,"NCAA D2",CCAA,Gators,1,Gator,#231161,#CD9700,,"wikipedia:San Francisco State University",,,,,5.3,41.57
"San Joaquin Delta",mens-soccer,NJCAA,CCCAA,Mustangs,1,,,,,"wikipedia:San Joaquin Delta College",,,,,6.5,26.45
"San Jose State",mens-soccer,"NCAA D1","Mountain West Conference",Spartans,1,"Sammy Spartan",#0055A2,#E5A823,https://upload.wikimedia.org/wikipedia/commons/0/00/San_Jose_State_University_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:San Jose State University",,,,,6.2,77.27
Sandhills,mens-soccer,NJCAA,CCAC-NJCAA,,,,,,,,"No usable Wikipedia infobox found for this name",,,,6.8,
"Santa Ana",mens-soccer,NJCAA,CCCAA,Dons,1,,,,,"wikipedia:Santa Ana College",,,,,6.8,27.83
"Santa Barbara City",mens-soccer,NJCAA,CCCAA,Vaqueros,1,,,,,"wikipedia:Santa Barbara City College",,,,,7.5,
"Santa Clara",mens-soccer,"NCAA D1","West Coast Conference",Broncos,1,"Bucky Bronco",,,https://upload.wikimedia.org/wikipedia/commons/3/35/Santa_Clara_University_Text_Logo_Stacked.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Santa Clara University",,,,,8.8,77.74
"Santa Monica",mens-soccer,NJCAA,CCCAA,Corsairs,1,"Pico the Corsair",#00549E,#FFFFFF,,"wikipedia:Santa Monica College",,,,,7.5,40.53
"Santa Rosa Junior",mens-soccer,NJCAA,CCCAA,"Bear Cubs",1,"Rosco the Bear Cub",,,,"wikipedia:Santa Rosa Junior College",,,,,7.2,39.17
"Savannah College of Art and Design",mens-soccer,NAIA,"Sun Conference",Bees,1,"Art the Bee",,,https://upload.wikimedia.org/wikipedia/commons/a/ad/Scad_college_art_design_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"wikipedia:Savannah College of Art and Design","copied from this school's other-sport row (Savannah College of Art and Design); the article ""Savannah College of Art and Design"" names this institution",,,,,53.51
