slug,city,state,rank,category,accept,sat_25,sat_75,act_25,grad_rate_4yr,retention,student_faculty_ratio,founded,undergrads
coe-college-1854,Cedar Rapids,IA,126,National Liberal Arts Colleges,64,1040,1300,,56,74,11,1851,1195
coker-college-3427,Hartsville,SC,99,Regional Universities South,94,,,,31,62,12,1908,1187
colby-sawyer-college-2572,New London,NH,12,Regional Colleges North,82,,,,49,75,12,1837,858
colby-college-2039,Waterville,ME,24,National Liberal Arts Colleges,7,1460,1550,,75,93,10,1813,2412
college-of-the-holy-cross-2141,Worcester,MA,27,National Liberal Arts Colleges,18,1240,1410,,85,95,9,1843,3127
colorado-christian-university-9401,Lakewood,CO,65,Regional Universities West,,,,,58,82,17,1914,8200
college-of-charleston-3428,Charleston,SC,9,Regional Universities South,60,1140,1310,,57,82,17,1770,10880
colgate-university-2701,Hamilton,NY,22,National Liberal Arts Colleges,14,1430,1540,,85,93,9,1819,3193
college-of-st-benedict-2341,St. Joseph,MN,73,National Liberal Arts Colleges,89,1020,1230,,73,87,,1913,1391
colorado-college-1347,Colorado Springs,CO,30,National Liberal Arts Colleges,18,1230,1460,,71,94,9,1874,2031
colorado-mesa-university-1358,Grand Junction,CO,14,Regional Colleges West,98,930,1160,,28,74,18,1925,9473
colorado-state-university-pueblo-1365,Pueblo,CO,81,Regional Universities West,98,870,1105,,25,64,20,1933,5086
colorado-state-university-1350,Fort Collins,CO,151,National Universities,89,,,,47,86,17,1870,26221
colorado-school-of-mines-1348,Golden,CO,80,National Universities,61,1320,1480,,67,93,18,1874,6195
concordia-austin-3557,Austin,TX,103,Regional Universities West,91,,,,27,62,16,1926,1391
columbus-state-university-1561,Columbus,GA,64,Regional Universities South,99,800,1060,,23,67,19,1958,6147
concord-university-athens-3810,Athens,WV,90,Regional Universities South,93,830,1090,,31,57,16,1872,1609
commonwealth-university-of-pennsylvania-436986,Bloomsburg,PA,121,Regional Universities North,93,990,1190,,42,76,19,,9847
columbia-university-2707,New York,NY,15,National Universities,4,,,34,80,98,6,1754,9111
concordia-college-moorhead-2346,Moorhead,MN,135,National Liberal Arts Colleges,63,,,21,49,82,12,1891,1864
concordia-university-chicago-1666,River Forest,IL,129,Regional Universities Midwest,93,,,,25,60,13,1864,1327
concordia-university-irvine-29059,Irvine,CA,318,National Universities,66,,,,50,74,14,1972,1554
concordia-university-st-paul-2347,St Paul,MN,105,Regional Universities Midwest,79,,,19,33,64,,1893,3361
concordia-university-wisconsin-3842,Mequon,WI,329,National Universities,78,,,22,57,78,12,1881,2401
connecticut-college-1379,New London,CT,50,National Liberal Arts Colleges,37,1350,1500,,76,88,9,1911,1990
covenant-college-3484,Lookout Mountain,GA,126,National Liberal Arts Colleges,87,1160,1380,,63,84,13,1955,1087
cornell-college-1856,Mount Vernon,IA,121,National Liberal Arts Colleges,80,,,23,67,77,12,1853,1082
converse-university-3431,Spartanburg,SC,33,Regional Universities South,68,1010,1250,,58,72,11,1889,1165
cornell-university-2711,Ithaca,NY,12,National Universities,8,1500,1570,,87,98,9,1865,16128
crown-college-2383,St. Bonifacius,MN,135,Regional Universities Midwest,62,,,,56,69,24,1916,1523
csumb-32603,Seaside,CA,11,Regional Universities West,97,,,,39,80,26,1994,6910
csub-7993,Bakersfield,CA,31,Regional Universities West,85,895,1155,,29,77,19,1970,8865
cuny-brooklyn-college-2687,Brooklyn,NY,38,Regional Universities North,58,,,,34,79,15,1930,11562
creighton-university-2542,Omaha,NE,117,National Universities,80,1243,1428,,74,92,11,1878,4647
cuny-city-college-2688,New York,NY,132,National Universities,60,,,,29,79,14,1847,12982
