school_id,name,division,conference,conf_tier,2022_W,2022_L,2022_D,2023_W,2023_L,2023_D,2024_W,2024_L,2024_D,2025_W,2025_L,2025_D,2022_ps,2023_ps,2024_ps,2025_ps
oregon_state,Oregon State,D1,Pac-12,d1t3,9,4,6,11,6,5,10,5,3,10,5,2,r32,final,appearance,appearance
pacific,Pacific,D1,WCC,d1t2,3,12,2,5,8,4,4,8,4,4,14,0,,,,
penn,Penn,D1,Ivy League,d1t3,13,3,2,7,3,6,14,4,1,8,5,4,r16,,appearance,
penn_state,Penn State,D1,Big Ten,d1t1,6,6,4,10,4,5,5,9,2,5,8,4,,,,
pittsburgh,Pittsburgh,D1,ACC,d1t1,12,5,5,6,7,4,14,6,0,6,7,5,final,r32,r16,
portland,Portland,D1,WCC,d1t2,15,3,3,12,5,0,7,4,7,14,2,4,semi,r32,,r16
presbyterian,Presbyterian,D1,Big South,d1t3,10,5,2,5,8,3,6,8,2,7,8,5,,,,
princeton,Princeton,D1,Ivy League,d1t3,6,6,4,4,8,3,12,7,0,15,2,2,,,appearance,appearance
providence,Providence,D1,Big East,d1t2,5,5,7,8,6,3,13,6,3,6,7,3,,,r32,
purdue_fort_wayne,Purdue Fort Wayne,D1,Horizon League,d1t3,2,10,3,7,6,4,7,7,2,8,3,6,,,,
queens_nc,Queens (NC),D1,ASUN,d1t3,4,10,2,5,10,2,5,10,3,5,6,6,,,,
quinnipiac,Quinnipiac,D1,MAAC,d1t3,13,5,3,3,9,5,7,9,1,7,10,1,r32,,,
radford,Radford,D1,Big South,d1t3,4,10,2,3,11,3,0,13,3,2,11,4,,,,
rhode_island,Rhode Island,D1,Atlantic 10,d1t3,6,3,7,5,6,5,7,7,3,4,8,5,,,,
rider,Rider,D1,MAAC,d1t3,3,8,6,12,4,4,14,5,1,2,11,4,,r32,,
robert_morris,Robert Morris,D1,Horizon League,d1t3,6,7,3,5,6,5,9,7,3,6,4,7,,,appearance,
rutgers,Rutgers,D1,Big Ten,d1t1,10,5,6,5,8,3,6,9,2,8,6,3,r32,,,
siue,SIUE,D1,OVC,d1t4,5,9,2,16,1,3,12,5,3,6,11,2,,r32,appearance,
smu,SMU,D1,ACC,d1t1,10,6,1,14,3,2,12,3,6,11,5,4,r32,r16,r16,appearance
sacramento_state,Sacramento State,D1,Big West,d1t3,9,8,2,4,10,4,6,10,2,2,12,4,,,,
sacred_heart,Sacred Heart,D1,MAAC,d1t3,7,9,1,6,8,5,8,6,2,9,4,5,,,,
saint_josephs,Saint Joseph's,D1,Atlantic 10,d1t3,3,6,8,4,11,2,4,12,1,6,7,5,,,,
saint_louis,Saint Louis,D1,Atlantic 10,d1t3,12,5,3,8,4,5,8,5,8,13,3,8,r16,,appearance,semi
saint_marys,Saint Mary's,D1,WCC,d1t2,7,6,5,8,7,2,2,9,6,2,8,6,,,,
san_diego,San Diego,D1,WCC,d1t2,8,5,6,11,4,4,15,3,2,13,3,3,r32,r32,r16,appearance
san_diego_state,San Diego State,D1,Pac-12,d1t3,5,9,4,6,7,5,10,5,3,7,9,2,,,,
san_francisco,San Francisco,D1,WCC,d1t2,7,6,4,8,4,5,7,6,4,10,6,1,,,,
san_jose_state,San Jose State,D1,Mountain West,d1t3,10,5,4,6,8,4,6,8,7,12,4,4,,,,
santa_clara,Santa Clara,D1,WCC,d1t2,4,5,6,7,7,3,5,8,3,6,5,7,,,,
seattle,Seattle,D1,WCC,d1t2,7,10,1,12,4,3,12,4,4,4,7,6,,r32,appearance,
seton_hall,Seton Hall,D1,Big East,d1t2,7,4,7,8,6,3,11,6,1,7,4,8,r32,,,r32
siena,Siena,D1,MAAC,d1t3,8,5,6,8,9,0,7,5,6,9,5,5,,,,appearance
south_carolina,South Carolina,D1,Sun Belt,d1t3,5,8,4,6,9,3,10,5,2,7,9,2,,,,
south_florida,South Florida,D1,AAC,d1t2,9,7,4,6,9,1,6,6,4,9,3,5,r16,,,
southern_indiana,Southern Indiana,D1,OVC,d1t4,2,12,3,2,12,3,2,14,2,2,10,5,,,,
st_bonaventure,St. Bonaventure,D1,Atlantic 10,d1t3,3,10,3,6,7,4,6,8,3,3,9,3,,,,
st_johns,St. John's,D1,Big East,d1t2,4,8,5,8,4,5,9,6,5,9,6,4,,,,appearance
saint_peters,Saint Peter's,D1,MAAC,d1t3,3,10,4,2,9,5,2,10,4,4,10,2,,,,
st_thomas,St. Thomas,D1,Summit League,d1t4,3,12,2,3,10,3,4,10,2,7,5,5,,,,
stanford,Stanford,D1,ACC,d1t1,12,2,6,11,4,5,9,5,6,14,4,2,r16,quarter,r32,r32
stetson,Stetson,D1,ASUN,d1t3,6,3,7,7,7,4,5,6,6,6,8,3,,,,
stonehill,Stonehill,D1,NEC,d1t4,3,12,2,3,8,5,6,9,3,5,10,3,,,,
stony_brook,Stony Brook,D1,CAA,d1t3,5,11,0,6,6,5,3,10,3,9,5,5,,,,
syracuse,Syracuse,D1,ACC,d1t1,19,2,4,9,5,7,7,7,3,9,8,3,final,r16,,appearance
temple,Temple,D1,AAC,d1t2,4,9,3,3,8,4,5,7,5,1,13,2,,,,
tulsa,Tulsa,D1,AAC,d1t2,10,5,2,4,8,3,3,9,3,5,9,4,r16,,,
uab,UAB,D1,AAC,d1t2,3,9,4,0,11,4,4,6,5,6,7,2,,,,
uc_davis,UC Davis,D1,Mountain West,d1t3,5,9,4,9,7,4,10,6,6,4,9,6,,,appearance,
uc_irvine,UC Irvine,D1,Big West,d1t3,6,12,2,9,7,4,8,8,3,11,4,6,,r32,,appearance
uc_riverside,UC Riverside,D1,Pac-12,d1t3,8,8,4,3,9,5,5,6,5,4,9,4,r32,,,
uc_san_diego,UC San Diego,D1,Pac-12,d1t3,8,8,2,4,11,3,4,9,5,2,9,7,,,,
uc_santa_barbara,UC Santa Barbara,D1,Big West,d1t3,10,4,6,10,8,2,12,5,5,7,5,8,,,r32,
ucf,UCF,D1,Sun Belt,d1t3,6,7,0,10,4,2,7,6,3,11,7,3,,r32,,r32
ucla,UCLA,D1,Big Ten,d1t1,12,7,1,9,4,5,7,6,6,8,6,5,quarter,r32,appearance,appearance
uconn,UConn,D1,Big East,d1t2,7,7,3,9,8,1,8,4,6,12,5,4,,,,r32
uic,UIC,D1,MVC,d1t3,5,9,2,7,9,0,7,10,0,10,3,5,,,,
umbc,UMBC,D1,America East,d1t3,10,6,2,7,4,5,8,7,4,6,6,5,,,,
kansas_city,Kansas City,D1,Summit League,d1t4,7,5,5,4,8,6,14,5,3,12,4,5,,,r16,r32
saint_francis_pa,Saint Francis (PA),D1,NEC,d1t4,6,6,4,7,0,8,7,7,2,8,9,1,,,,
umass,UMass,D1,Summit League,d1t4,7,4,7,7,6,6,13,4,5,6,5,6,,,quarter,
umass_lowell,UMass Lowell,D1,America East,d1t3,2,9,5,2,11,3,6,5,5,7,7,4,,,,
unc_asheville,UNC Asheville,D1,Big South,d1t3,2,11,4,10,5,3,7,4,4,7,7,2,,,,
unc_greensboro,UNC Greensboro,D1,SoCon,d1t3,13,2,6,2,10,5,10,2,5,12,5,6,quarter,,,r16
uncw,UNCW,D1,CAA,d1t3,6,4,7,6,6,4,6,9,5,5,9,2,,,,
unlv,UNLV,D1,Mountain West,d1t3,1,9,7,7,8,4,5,7,5,4,6,6,,,,
usc_upstate,USC Upstate,D1,Big South,d1t3,6,6,5,5,10,2,3,14,0,5,11,3,,,,
utrgv,UTRGV,D1,OVC,d1t4,7,7,3,5,9,1,4,7,5,1,7,2,,,,
utah_tech,Utah Tech,D1,Mountain West,d1t3,4,12,2,9,9,0,4,10,4,4,7,6,,,,
utah_valley,Utah Valley,D1,Big West,d1t3,7,8,1,3,7,7,8,6,4,8,4,3,,,,
vcu,VCU,D1,Atlantic 10,d1t3,3,8,6,7,6,5,4,6,7,6,6,5,,,,
vmi,VMI,D1,SoCon,d1t3,2,14,1,5,13,0,5,11,2,3,12,3,,,,
vermont,Vermont,D1,America East,d1t3,16,4,2,13,6,2,16,2,6,14,1,5,semi,quarter,champion,appearance
villanova,Villanova,D1,Big East,d1t2,6,8,3,1,8,7,1,10,6,7,6,5,,,,
virginia,Virginia,D1,ACC,d1t1,10,4,5,11,4,4,11,7,3,12,2,5,r32,r16,r32,appearance
virginia_tech,Virginia Tech,D1,ACC,d1t1,3,14,1,4,9,4,7,6,4,7,4,5,,,,
wake_forest,Wake Forest,D1,ACC,d1t1,14,6,0,11,3,5,12,5,7,7,4,6,r32,r32,r16,
washington,Washington,D1,Big Ten,d1t1,15,2,3,5,6,7,8,6,7,16,6,2,r32,,r32,champion
west_virginia,West Virginia,D1,Sun Belt,d1t3,7,7,4,17,3,4,13,2,7,13,5,3,,semi,r32,r32
western_illinois,Western Illinois,D1,OVC,d1t4,2,8,7,2,14,1,8,11,1,5,11,4,,,,
western_michigan,Western Michigan,D1,MVC,d1t3,16,3,2,11,1,6,12,3,6,8,10,4,quarter,quarter,r32,r32
william_mary,William & Mary,D1,CAA,d1t3,5,7,6,2,8,6,5,10,1,2,10,4,,,,
winthrop,Winthrop,D1,Big South,d1t3,3,13,1,4,11,2,5,12,1,1,12,3,,,,
wisconsin,Wisconsin,D1,Big Ten,d1t1,6,6,4,6,5,6,7,5,3,8,8,0,,,,
wofford,Wofford,D1,SoCon,d1t3,6,9,2,7,4,6,8,6,3,6,11,2,,,,
wright_state,Wright State,D1,Horizon League,d1t3,4,7,6,4,9,5,7,9,2,2,13,1,,,,
xavier,Xavier,D1,Big East,d1t2,9,2,7,9,4,6,4,8,5,5,6,4,,r32,,
yale,Yale,D1,Ivy League,d1t3,7,4,5,11,6,3,4,11,1,3,9,3,,r16,,
adams_state,Adams State,D2,RMAC,d2t1,1,15,2,0,16,0,2,12,2,1,15,1,,,,
adelphi,Adelphi,D2,Northeast-10,d2t1,9,5,6,9,8,1,9,6,4,9,6,4,,,,
alabama_huntsville,Alabama Huntsville,D2,GSC,d2t1,3,9,4,6,5,6,4,8,3,9,4,4,,,,
american_international,American International,D2,Northeast-10,d2t1,2,9,5,3,6,9,0,10,5,3,10,4,,,,
anderson_sc,Anderson (SC),D2,SAC,d2t1,5,7,3,7,6,3,8,7,1,11,2,6,,,,
ashland,Ashland,D2,GMAC,d2t1,12,7,1,7,9,4,10,7,1,4,9,4,,,,
assumption,Assumption,D2,Northeast-10,d2t1,7,5,4,4,8,4,3,9,4,2,12,1,,,,
auburn_montgomery,Auburn Montgomery,D2,GSC,d2t1,8,6,3,7,4,6,11,3,6,10,5,3,,,,
barry,Barry,D2,Sunshine State,d2t1,12,4,4,13,5,1,6,9,3,5,6,4,,,,
barton,Barton,D2,Conference Carolinas,d2t1,6,7,4,7,7,5,7,5,2,8,8,3,,,,
belmont_abbey,Belmont Abbey,D2,Conference Carolinas,d2t1,3,10,4,10,5,3,8,8,3,6,5,6,,,,
bentley,Bentley,D2,Northeast-10,d2t1,5,9,3,7,7,2,7,5,5,11,3,4,,,,
biola,Biola,D2,PacWest,d2t2,8,4,6,5,8,5,7,9,2,6,7,4,,,,
bridgeport,Bridgeport,D2,CACC,d2t1,10,6,3,10,7,3,7,8,3,9,5,8,,,,
cal_poly_humboldt,Cal Poly Humboldt,D2,CCAA,d2t2,3,7,8,5,7,5,3,11,4,3,12,3,,,,
cal_poly_pomona,Cal Poly Pomona,D2,CCAA,d2t2,11,3,6,14,2,5,13,2,7,7,6,5,,,,
cal_state_dominguez_hills,Cal State Dominguez Hills,D2,CCAA,d2t2,15,2,5,5,6,6,11,5,5,12,4,4,,,,
cal_state_east_bay,Cal State East Bay,D2,CCAA,d2t2,4,9,5,7,7,4,6,8,5,7,6,5,,,,
cal_state_la,Cal State LA,D2,CCAA,d2t2,15,2,3,18,1,3,12,3,6,8,4,7,,,,
cal_state_monterey_bay,Cal State Monterey Bay,D2,CCAA,d2t2,8,8,2,12,5,4,8,4,6,4,8,3,,,,
cal_state_san_bernardino,Cal State San Bernardino,D2,CCAA,d2t2,5,5,7,7,7,4,5,6,6,9,3,8,,,,
cal_state_san_marcos,Cal State San Marcos,D2,CCAA,d2t2,6,9,3,7,8,5,4,7,7,7,8,5,,,,
cal_state_stanislaus,Cal State Stanislaus,D2,CCAA,d2t2,5,7,6,4,10,4,7,6,5,17,2,1,,,,
caldwell,Caldwell,D2,CACC,d2t1,5,10,3,9,6,1,8,6,3,5,9,3,,,,
